Timestamp;CPU Usage (%);Mem Usage (MiB);Mem Usage (KiB);Virtual Mem (MiB);Virtual Mem (KiB);Threads;Page Faults
2024-01-16 00:53:21;0;26;27252;707;724484;9;4194304
2024-01-16 00:53:22;27.1605;368;377796;1292;1323640;10;4194304
2024-01-16 00:53:23;25.9259;784;803832;1706;1747360;10;4194304
2024-01-16 00:53:24;40.5868;910;932128;1831;1875888;10;4194304
2024-01-16 00:53:25;24.8768;1164;1192956;2086;2136668;10;4194304
2024-01-16 00:53:26;25;1466;1502100;2388;2446104;10;4194304
2024-01-16 00:53:27;43.7037;1276;1306904;2197;2250172;10;4194304
2024-01-16 00:53:28;24.9383;1281;1311920;2204;2257084;10;4194304
2024-01-16 00:53:29;34.1584;1473;1509128;2395;2452668;10;4194304
2024-01-16 00:53:30;34.2432;1058;1083408;1979;2027452;10;4194304
2024-01-16 00:53:31;24.6944;1364;1397040;2286;2341820;10;4194304
2024-01-16 00:53:32;42.963;1283;1314208;2204;2257596;10;4194304
2024-01-16 00:53:33;25.3695;1283;1314208;2204;2257596;10;4194304
2024-01-16 00:53:34;27.027;1460;1495832;2382;2439612;10;1077936128
2024-01-16 00:53:35;41.0319;977;1000956;1898;1944508;10;4194304
2024-01-16 00:53:36;24.8768;1269;1299804;2190;2243260;10;4194304
2024-01-16 00:53:37;34.4828;1454;1489092;2375;2432444;10;4194304
2024-01-16 00:53:38;33.2512;1280;1311428;2201;2254780;10;4194304
2024-01-16 00:53:39;25.0614;1399;1433396;2321;2376892;10;4194304
2024-01-16 00:53:40;42.7518;996;1020232;1917;1963596;10;4194304
2024-01-16 00:53:41;24.7549;1173;1201988;2095;2145612;10;4194304
2024-01-16 00:53:42;24.9389;1474;1510076;2396;2453836;10;4194304
2024-01-16 00:53:43;43.4568;1280;1311428;2202;2254924;10;4194304
2024-01-16 00:53:44;24.8768;1283;1314332;2205;2257996;10;4194304
2024-01-16 00:53:45;34.321;1474;1509956;2396;2453580;10;4194304
2024-01-16 00:53:46;33.5784;1064;1089924;1985;2033484;10;4194304
2024-01-16 00:53:47;25;1366;1399764;2289;2344780;10;4194304
2024-01-16 00:53:48;43.3498;1278;1309264;2199;2252620;10;4194304
2024-01-16 00:53:49;25.3695;1278;1309264;2199;2252620;10;4194304
2024-01-16 00:53:50;25.3695;1474;1509640;2395;2453068;10;4194304
2024-01-16 00:53:51;42.716;990;1013768;1911;1957196;10;4194304
2024-01-16 00:53:52;24.8157;1262;1293080;2184;2237260;10;4194304
2024-01-16 00:53:53;32.4324;1474;1510088;2396;2453580;10;4194304
2024-01-16 00:53:54;35.8025;1278;1309384;2200;2252876;10;4194304
2024-01-16 00:53:55;25.0614;1378;1412080;2300;2355532;10;4194304
2024-01-16 00:53:56;43.5644;987;1010936;1908;1954380;10;4194304
2024-01-16 00:53:57;24.8157;1155;1183064;2078;2128204;10;4194304
2024-01-16 00:53:58;25.3071;1460;1495108;2382;2439500;10;4194304
2024-01-16 00:53:59;42.8922;1278;1309088;2199;2252620;10;4194304
2024-01-16 00:54:01;24.8157;1278;1309088;2199;2252620;10;4194304
2024-01-16 00:54:02;32.9238;1474;1509992;2396;2453580;10;1077936128
2024-01-16 00:54:03;35.396;1044;1069064;1965;2012748;10;4194304
2024-01-16 00:54:04;25.1232;1346;1379264;2269;2324300;10;4194304
2024-01-16 00:54:05;41.6256;1280;1311552;2202;2254924;10;4194304
2024-01-16 00:54:06;26.5356;1280;1311552;2202;2254924;10;4194304
2024-01-16 00:54:07;25;1460;1495820;2383;2440268;10;4194304
2024-01-16 00:54:08;42.6471;988;1012428;1910;1956172;10;4194304
2024-01-16 00:54:09;25.1852;1242;1272204;2165;2217036;10;4194304
2024-01-16 00:54:10;30.8642;1474;1509804;2395;2453324;10;4194304
2024-01-16 00:54:11;37.1007;1279;1310124;2200;2253644;10;4194304
2024-01-16 00:54:12;24.9383;1354;1386684;2277;2331980;10;4194304
2024-01-16 00:54:13;41.7073;990;1014620;1912;1957964;10;4194304
2024-01-16 00:54:14;25.8621;1135;1162724;2058;2107724;10;4194304
2024-01-16 00:54:15;25.4902;1439;1473712;2360;2417228;10;4194304
2024-01-16 00:54:16;43.1034;1284;1314936;2205;2258252;10;4194304
2024-01-16 00:54:17;24.8157;1284;1314936;2205;2258252;10;4194304
2024-01-16 00:54:18;31.6049;1474;1510032;2396;2453580;10;1077936128
2024-01-16 00:54:19;37.469;1029;1054320;1951;1997900;10;4194304
2024-01-16 00:54:20;24.7549;1330;1362408;2251;2305868;10;4194304
2024-01-16 00:54:21;39.951;1283;1313840;2204;2257228;10;4194304
2024-01-16 00:54:22;28.2555;1283;1313840;2204;2257228;10;4194304
2024-01-16 00:54:23;25.7985;1451;1486224;2374;2431308;10;4194304
2024-01-16 00:54:24;43.0693;987;1010692;1908;1954124;10;4194304
2024-01-16 00:54:25;24.9383;1221;1250868;2144;2196044;10;4194304
2024-01-16 00:54:26;29.803;1473;1509316;2395;2452812;10;4194304
2024-01-16 00:54:27;38.5185;1278;1308996;2199;2252364;10;4194304
2024-01-16 00:54:28;25.1232;1337;1369980;2259;2313548;10;4194304
2024-01-16 00:54:29;39.6135;989;1013096;1910;1956428;10;4194304
2024-01-16 00:54:30;28.6765;1119;1146360;2042;2091596;10;4194304
2024-01-16 00:54:31;24.8768;1425;1459464;2346;2402892;10;4194304
2024-01-16 00:54:32;43.0693;1284;1315552;2206;2259020;10;4194304
2024-01-16 00:54:33;25.1852;1284;1315552;2206;2259020;10;4194304
