Timestamp;CPU Usage (%);Mem Usage (MiB);Mem Usage (KiB);Virtual Mem (MiB);Virtual Mem (KiB);Threads;Page Faults
2024-01-16 00:59:53;0;26;27592;707;724740;9;4194304
2024-01-16 00:59:54;0.735294;43;44348;966;989992;10;4194304
2024-01-16 00:59:55;0.735294;46;47136;967;990332;10;4194304
2024-01-16 00:59:56;0.485437;46;47600;969;992296;10;4194304
2024-01-16 00:59:57;0;45;46688;969;992296;10;4194304
2024-01-16 00:59:58;0.238663;44;45564;969;992296;10;4194304
2024-01-16 00:59:59;0;43;44812;969;992296;10;4194304
2024-01-16 01:00:00;0.23753;44;45868;969;992296;10;4194304
2024-01-16 01:00:01;0.473934;43;44752;967;990760;10;4194304
2024-01-16 01:00:02;0.733496;43;44836;966;989736;10;4194304
2024-01-16 01:00:03;0.243902;44;45312;966;989992;10;4194304
2024-01-16 01:00:04;0;43;44916;966;989992;10;4194304
2024-01-16 01:00:06;0.244499;44;45972;967;990248;10;4194304
2024-01-16 01:00:07;0.240385;44;45416;967;990504;10;4194304
2024-01-16 01:00:08;0;45;46472;967;990504;10;4194304
2024-01-16 01:00:09;0.243309;45;46172;967;990760;10;4194304
2024-01-16 01:00:10;0.244499;45;46564;967;991016;10;4194304
2024-01-16 01:00:11;0.245098;45;46508;967;991016;10;4194304
2024-01-16 01:00:12;0;45;46456;968;991272;10;4194304
2024-01-16 01:00:13;0.243309;45;46976;968;991528;10;4194304
2024-01-16 01:00:14;0;45;46596;968;991528;10;4194304
2024-01-16 01:00:15;0.244499;46;47652;968;991784;10;4194304
2024-01-16 01:00:16;0;45;46964;968;992040;10;4194304
2024-01-16 01:00:17;0.244499;46;48020;968;992040;10;4194304
2024-01-16 01:00:18;0.242718;46;47664;969;992296;10;4194304
2024-01-16 01:00:19;0;46;48056;969;992552;10;4194304
2024-01-16 01:00:20;0.244499;46;47972;969;992552;10;4194304
2024-01-16 01:00:21;0;46;47888;969;992808;10;4194304
2024-01-16 01:00:22;0;47;48676;969;992808;10;4194304
2024-01-16 01:00:23;0.241546;46;47984;969;993064;10;4194304
2024-01-16 01:00:24;0;47;48796;969;993064;10;4194304
2024-01-16 01:00:25;0.242718;47;48396;969;993064;10;4194304
2024-01-16 01:00:26;0;47;48380;970;993320;10;4194304
2024-01-16 01:00:27;0.238663;48;49436;970;993320;10;4194304
2024-01-16 01:00:28;0.242718;48;49340;970;993576;10;4194304
2024-01-16 01:00:29;0;47;49020;970;993576;10;4194304
2024-01-16 01:00:30;0;47;48904;970;993832;10;4194304
2024-01-16 01:00:31;0.481928;49;50224;970;993832;10;4194304
2024-01-16 01:00:32;0;47;49092;970;994088;10;4194304
2024-01-16 01:00:33;0;48;50148;970;994088;10;4194304
2024-01-16 01:00:34;0.245098;48;49412;971;994344;10;4194304
2024-01-16 01:00:35;0;48;49608;971;994344;10;4194304
2024-01-16 01:00:36;0.243309;48;50040;971;994600;10;4194304
2024-01-16 01:00:38;0.241546;48;49664;971;994600;10;4194304
2024-01-16 01:00:39;0;49;50720;971;994856;10;4194304
2024-01-16 01:00:40;0.242718;49;50180;971;994856;10;4194304
2024-01-16 01:00:41;0;49;51000;971;995112;10;4194304
2024-01-16 01:00:42;0;49;50564;971;995112;10;4194304
2024-01-16 01:00:43;0.243309;49;50420;972;995368;10;4194304
2024-01-16 01:00:44;0.241546;50;51476;972;995368;10;4194304
2024-01-16 01:00:45;0;49;51068;972;995368;10;4194304
2024-01-16 01:00:46;0.2457;50;51416;972;995624;10;4194304
2024-01-16 01:00:47;0;49;51016;972;995624;10;4194304
2024-01-16 01:00:48;0.243902;49;50880;972;995880;10;4194304
2024-01-16 01:00:49;0.245098;50;52200;972;995880;10;4194304
2024-01-16 01:00:50;0.245098;49;50804;972;996136;10;4194304
2024-01-16 01:00:51;0;50;52124;972;996136;10;4194304
2024-01-16 01:00:52;0.238095;50;51764;973;996392;10;4194304
2024-01-16 01:00:53;0;50;51800;973;996392;10;4194304
2024-01-16 01:00:54;0.242718;50;52040;973;996648;10;4194304
2024-01-16 01:00:55;0.240964;50;51804;973;996648;10;4194304
2024-01-16 01:00:56;0;51;53124;973;996904;10;4194304
2024-01-16 01:00:57;0.243309;50;52188;973;997160;10;4194304
2024-01-16 01:00:58;0.243902;51;53244;973;997160;10;4194304
2024-01-16 01:00:59;0;51;52932;974;997416;10;4194304
2024-01-16 01:01:00;0.243902;52;53628;974;997672;10;4194304
2024-01-16 01:01:01;0;51;53220;974;997928;10;4194304
2024-01-16 01:01:02;0.479616;44;45440;967;990760;10;4194304
2024-01-16 01:01:03;0;44;45964;967;990760;10;4194304
2024-01-16 01:01:04;0;45;46348;967;990760;10;4194304
2024-01-16 01:01:05;0.243902;44;45884;967;990760;10;4194304
2024-01-16 01:01:06;0;45;46676;967;990760;10;4194304
2024-01-16 01:01:07;0.483092;44;45776;967;990760;10;4194304
2024-01-16 01:01:08;0;45;46832;967;990760;10;4194304
2024-01-16 01:01:10;0;45;46260;967;990760;10;4194304
2024-01-16 01:01:11;0.242131;45;46692;967;991016;10;4194304
2024-01-16 01:01:12;0;45;46312;967;991016;10;4194304
2024-01-16 01:01:13;0.488998;45;46276;968;991272;10;4194304
2024-01-16 01:01:14;0;45;46740;968;991528;10;4194304
