Timestamp;CPU Usage (%);Mem Usage (MiB);Mem Usage (KiB);Virtual Mem (MiB);Virtual Mem (KiB);Threads;Page Faults
2024-01-18 02:30:55;0;11;12184;1208;1237464;8;1077936128
2024-01-18 02:30:56;0.728155;14;15352;1209;1238040;9;1077936128
2024-01-18 02:30:57;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:30:58;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:30:59;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:00;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:01;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:03;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:04;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:05;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:06;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:07;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:08;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:09;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:10;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:11;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:12;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:13;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:14;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:15;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:16;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:17;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:18;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:19;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:20;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:21;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:22;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:23;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:24;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:25;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:26;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:27;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:28;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:29;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:30;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:31;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:32;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:33;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:34;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:35;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:37;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:38;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:39;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:40;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:41;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:42;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:43;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:44;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:45;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:46;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:47;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:48;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:49;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:50;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:51;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:52;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:53;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:54;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:55;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:56;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:57;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:58;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:31:59;0;14;15352;1209;1238040;9;1077936128
2024-01-18 02:32:00;0;14;15352;1209;1238040;9;1077936128
